id;name;code;user_type_id/id;chart_template_id/id;reconcile
l10n_dz.pcg_63125;Primes de véhicule;63125;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_63126;Prime de caisse et de bilan;63126;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_63127;Prime de sujétion;63127;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_63128;Primes spéciales;63128;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_63131;Indemnité d'Expérience professionnelle (I.E.P);63131;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_63132;Indemnité de nuisance;63132;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_63133;Indemnité de travail posté;63133;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_63134;Indemnités de fin de carrière et de départ à la retraite (IDR – IFC);63134;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_63135;Indemnités kilométriques et de transport;63135;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_63138;Autres Indemnités liées au salaire;63138;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_63141;Bonifications;63141;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_63142;Supplément familial : Prime de scolarité, IPSU, ICAF;63142;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_63148;Autres indemnités et avantages divers;63148;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6315;Avantages et prestations en nature;6315;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_634;Rémunération de l'exploitant;634;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6351;Cotisations de sécurité sociale – CNAS;6351;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6352;Cotisations au FNPOS;6352;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6353;Cotisations à la retraite – CNR;6353;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6354;Cotisations aux mutuelles;6354;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6355;Cotisations à la CACOBATPH;6355;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6361;Cotisation annuelle à la CASNOS;6361;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6368;Autres cotisations;6368;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6374;Versements aux œuvres sociales;6374;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6375;Autres contributions sociales;6375;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6381;Médecine du travail et pharmacie;6381;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6382;Frais de formation et de perfectionnement du personnel (en interne);6382;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6383;Frais d’activités socioculturelles et sportives;6383;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6384;Avantages en nature accordés au personnel;6384;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6385;Médailles du mérite et Jubilé;6385;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
